category,authorLocation,requiredFunding,targetAudience,success
other,inland,93966,patients teachers teachers tourists teachers patients youth smes youth teachers youth youth developers tourists patients youth farmers teachers teachers commuters patients seniors parents smes commuters teachers patients smes developers seniors,1
healthcare,inland,100963,developers youth smes commuters youth farmers teachers commuters commuters commuters parents developers youth seniors teachers tourists developers developers seniors farmers seniors commuters seniors smes seniors patients developers patients tourists youth,1
other,urban,261174,teachers patients parents youth patients tourists commuters smes parents commuters developers tourists farmers tourists patients commuters patients seniors seniors parents tourists tourists youth teachers tourists teachers tourists youth tourists tourists,1
education,inland,71535,teachers tourists patients seniors tourists teachers farmers tourists youth patients smes farmers patients patients developers seniors commuters seniors teachers smes,1
agriculture,urban,53431,youth farmers commuters parents farmers seniors developers teachers smes farmers developers smes parents patients teachers patients tourists tourists farmers patients,1
education,urban,260171,youth farmers patients seniors farmers parents patients parents smes parents,1
technology,inland,241447,youth farmers developers seniors patients tourists patients patients parents smes teachers teachers teachers parents youth commuters parents teachers teachers patients patients parents commuters seniors parents seniors farmers smes developers patients,1
education,rural,211438,seniors tourists youth youth farmers youth patients seniors developers smes parents commuters smes parents youth tourists seniors teachers youth youth farmers patients tourists seniors youth teachers smes developers farmers teachers,1
other,coastal,269995,youth farmers commuters smes commuters youth patients patients seniors seniors teachers patients farmers patients parents patients commuters teachers seniors patients,1
healthcare,rural,290975,commuters developers teachers commuters developers patients tourists commuters developers seniors,1
agriculture,suburban,120665,commuters patients tourists,1
agriculture,rural,245968,patients farmers commuters seniors tourists teachers developers teachers smes youth youth patients youth seniors smes farmers seniors parents parents patients,1
technology,unknown,143243,tourists tourists smes teachers teachers seniors commuters commuters youth teachers developers farmers farmers commuters commuters farmers tourists developers tourists patients parents seniors seniors farmers patients seniors smes farmers developers parents,1
education,rural,103347,smes smes tourists seniors developers smes teachers farmers youth parents smes smes youth developers commuters commuters teachers smes youth farmers,1
education,rural,18983,seniors smes developers smes farmers smes youth parents seniors patients parents developers patients tourists teachers youth parents seniors seniors commuters,1
other,unknown,36576,parents developers seniors,1
other,coastal,290728,parents teachers farmers teachers parents youth farmers patients developers farmers smes farmers seniors seniors patients tourists teachers youth smes commuters,0
technology,rural,241374,patients parents commuters,1
